,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
110,31.8238,70.9095,14.725714285714286,1.0,3.0,4.0,1.0,2008,7,13,1429,7,10,0,9,4,14,2,0,7
111,31.5451,74.3407,8.0,9.0,20.0,35.0,1.0,2008,8,13,1429,8,12,2,26,5,13,0,1,6
112,31.8238,70.9095,30.0,32.0,33.0,55.0,1.0,2008,8,19,1429,8,18,2,9,4,6,1,0,1
113,33.6058,73.0437,70.0,100.0,67.0,200.0,2.0,2008,8,21,1429,8,20,2,44,5,9,0,0,3
114,35.2227,72.4258,7.0,15.0,31.397260273972602,20.0,1.0,2008,8,23,1429,8,22,2,55,4,13,0,1,6
115,33.5833,71.4333,2.0,5.0,25.0,39.0,1.0,2008,8,29,1429,8,28,2,24,4,9,0,0,5
116,34.0043,71.5448,30.0,35.0,70.0,90.0,1.0,2008,9,6,1429,9,6,2,40,4,13,0,1,6
117,35.2227,72.4258,2.0,10.0,31.397260273972602,25.0,1.0,2008,9,16,1429,9,16,2,55,4,13,0,1,6
118,32.9746,70.1456,7.0,17.0,5.0,20.0,1.0,2008,9,20,1429,9,20,2,37,4,10,0,1,5
119,33.718,73.0718,40.0,60.0,200.0,300.0,1.0,2008,9,20,1429,9,20,2,17,2,7,2,0,2
120,35.2227,72.4258,9.0,13.0,2.0,3.0,1.0,2008,9,22,1429,9,22,2,55,4,9,0,1,5
121,30.2095,67.0182,1.0,14.0,22.0,25.0,1.0,2008,9,24,1429,9,24,2,43,1,9,0,1,5
122,34.0043,71.5448,4.0,5.0,31.397260273972602,18.0,1.0,2008,10,3,1429,10,3,0,40,4,15,2,0,3
123,31.6216,71.065,22.0,26.0,60.0,100.0,1.0,2008,10,6,1429,10,6,2,3,5,15,2,0,3
124,33.718,73.0718,14.725714285714286,15.20625,6.0,12.0,1.0,2008,10,9,1429,10,9,2,17,2,13,0,0,6
125,34.0211,71.2874,14.725714285714286,0.0,31.397260273972602,0.0,1.0,2008,10,9,1429,10,9,2,23,3,10,0,1,2
126,32.9746,70.1456,40.0,85.0,90.0,200.0,1.0,2008,10,10,1429,10,10,2,39,3,12,1,1,0
127,35.2227,72.4258,14.725714285714286,4.0,31.397260273972602,27.0,1.0,2008,10,16,1429,10,16,2,55,4,13,0,0,6
128,32.9746,70.1456,11.0,10.0,31.397260273972602,5.0,1.0,2008,10,26,1429,10,26,0,33,3,9,0,1,5
129,32.9861,70.6042,14.725714285714286,15.20625,31.397260273972602,14.0,1.0,2008,10,29,1429,10,29,2,2,4,9,0,1,5
130,34.1982,72.0444,9.0,10.0,21.0,25.0,1.0,2008,10,31,1429,11,2,2,32,4,13,0,0,6
131,32.3202,69.8597,14.725714285714286,8.0,31.397260273972602,8.0,1.0,2008,11,2,1429,11,4,0,51,3,9,0,1,5
132,33.5351,71.0713,14.725714285714286,7.0,31.397260273972602,4.0,1.0,2008,11,4,1429,11,6,2,14,4,13,0,1,6
133,35.2227,72.4258,14.725714285714286,2.0,31.397260273972602,10.0,1.0,2008,11,6,1429,11,8,2,55,4,13,0,1,6
134,34.8718,71.5249,16.0,23.0,31.0,45.0,1.0,2008,11,6,1429,11,8,2,1,3,12,1,1,0
135,34.0043,71.5448,3.0,4.0,13.0,20.0,1.0,2008,11,11,1429,11,13,2,40,4,12,1,1,3
136,34.1509,71.7359,14.725714285714286,7.0,10.0,12.0,1.0,2008,11,12,1429,11,14,2,7,4,9,0,0,5
137,35.2227,72.4258,14.725714285714286,10.0,31.397260273972602,8.0,1.0,2008,11,17,1429,11,19,2,55,4,9,0,1,5
138,34.8718,71.5249,14.725714285714286,9.0,31.397260273972602,39.45986984815618,1.0,2008,11,20,1429,11,22,2,1,3,14,2,0,7
139,34.3943,72.6151,14.725714285714286,9.0,31.397260273972602,16.0,1.0,2008,11,28,1429,11,30,2,4,4,10,0,1,6
140,35.2227,72.4258,14.725714285714286,10.0,31.397260273972602,50.0,1.0,2008,12,1,1429,12,3,2,55,4,9,0,1,5
141,34.1509,71.7359,5.0,6.0,8.0,10.0,1.0,2008,12,3,1429,12,5,2,7,4,10,0,1,5
142,32.9746,70.1456,6.0,10.0,8.0,15.0,1.0,2008,12,5,1429,12,7,2,39,4,8,1,1,1
143,34.3943,72.6151,14.725714285714286,1.0,31.397260273972602,4.0,1.0,2008,12,9,1429,12,11,2,4,4,12,1,1,3
144,34.3943,72.6151,34.0,37.0,31.397260273972602,16.0,1.1159420289855073,2008,12,28,1429,12,30,0,4,4,5,0,1,3
145,31.8238,70.9095,7.0,10.0,21.0,25.0,1.0,2009,1,4,1430,1,7,0,9,4,10,0,1,6
146,32.9861,70.6042,14.725714285714286,1.0,31.397260273972602,2.0,1.0,2009,1,4,1430,1,7,0,2,4,13,0,1,6
147,35.3833,72.1833,14.725714285714286,2.0,11.0,25.0,1.0,2009,1,23,1430,1,26,2,55,4,9,0,1,5
148,30.05,70.6333,30.0,32.0,48.0,55.0,1.0,2009,2,5,1430,2,10,2,8,5,14,2,1,7
149,35.3833,72.1833,14.725714285714286,12.0,31.397260273972602,39.45986984815618,1.1159420289855073,2009,2,5,1430,2,10,2,55,4,13,0,1,6
150,34.0211,71.2874,14.725714285714286,0.0,31.397260273972602,7.0,1.0,2009,2,6,1430,2,11,2,23,3,10,1,1,2
151,32.9861,70.6042,14.725714285714286,5.0,17.0,18.0,1.0,2009,2,9,1430,2,14,2,2,4,13,0,1,6
152,31.8238,70.9095,30.0,36.0,150.0,200.0,1.0,2009,2,20,1430,2,25,2,9,4,12,1,1,1
153,32.9861,70.6042,14.725714285714286,2.0,31.397260273972602,39.45986984815618,1.1159420289855073,2009,2,21,1430,2,26,2,2,4,13,0,1,6
154,32.9861,70.6042,14.725714285714286,1.0,31.397260273972602,2.0,1.1159420289855073,2009,2,23,1430,2,28,2,2,4,15,2,0,6
155,30.5833,67.0,5.0,6.0,5.0,12.0,1.0,2009,3,2,1430,3,5,2,41,1,3,1,0,3
156,34.0043,71.5448,4.0,5.0,31.397260273972602,6.0,1.0,2009,3,11,1430,3,14,2,40,4,8,1,1,3
157,33.6058,73.0437,12.0,15.0,16.0,18.0,1.0,2009,3,16,1430,3,19,2,44,5,16,1,1,1
158,33.718,73.0718,14.725714285714286,2.0,31.397260273972602,8.0,1.0,2009,3,23,1430,3,26,0,17,2,13,0,1,6
159,32.226,70.3761,7.0,15.0,31.397260273972602,25.0,1.0,2009,3,26,1430,3,29,2,58,4,8,1,1,0
160,34.0211,71.2874,70.0,76.0,100.0,175.0,1.0,2009,3,27,1430,3,30,2,23,3,14,2,0,7
161,32.9746,70.1456,14.725714285714286,4.0,31.397260273972602,9.0,1.0,2009,3,30,1430,4,3,2,37,3,10,0,1,5
162,33.718,73.0718,14.725714285714286,8.0,4.0,7.0,1.0,2009,4,4,1430,4,8,2,17,2,9,0,1,5
163,32.9746,70.1456,14.725714285714286,8.0,31.397260273972602,39.0,1.0,2009,4,4,1430,4,8,2,37,3,10,0,1,5
164,32.9303,72.8556,22.0,27.0,40.0,60.0,1.0,2009,4,5,1430,4,9,0,5,5,14,2,0,7
165,34.1509,71.7359,16.0,18.0,5.0,10.0,1.0,2009,4,15,1430,4,19,2,7,4,13,0,1,6
166,33.5351,71.0713,21.0,27.0,26.0,65.0,1.0,2009,4,18,1430,4,22,2,14,4,13,0,1,6
167,34.0043,71.5448,7.0,11.0,25.0,48.0,1.0,2009,5,5,1430,5,10,2,40,4,9,0,1,5
168,33.6854,71.5131,10.0,11.0,20.0,27.0,1.0,2009,5,11,1430,5,16,2,10,4,13,0,1,6
169,32.226,70.3761,6.0,9.0,25.0,36.0,1.0,2009,5,21,1430,5,26,2,58,4,9,0,1,5
170,31.5451,74.3407,26.0,27.0,320.0,370.0,1.0,2009,5,27,1430,6,3,2,26,5,13,0,1,6
